1,49
2,24
3,67
4,45
5,47
6,62
7,51
8,56
9,63
10,61
11,16
12,70
13,76
14,71
15,48
16,74
17,25
18,40
19,64
20,36
21,10
22,42
23,55
24,43
25,44
26,57
27,4
28,23
29,96
30,5
31,79
32,49
33,52
34,39
35,31
36,15
37,53
38,72
39,1
40,35
41,48
42,66
43,30
44,40
45,54
46,100
47,38
48,55
49,83
50,41
51,3
52,32
53,55
54,51
55,28
56,90
57,20
58,2
59,46
60,65
61,56
62,68
63,34
64,54
65,37
66,69
67,58
68,45
69,92
70,50
71,60
72,46
73,43
74,44
75,8
76,50
77,57
78,80
79,37
80,52
81,9
82,33
83,39
84,30
85,47
86,47
87,41
88,60
89,58
90,46
91,59
92,50
93,64
94,12
95,42
96,42
97,53
98,59
99,27
100,6
