1,1
2,2
3,3
4,4
5,5
6,6
7,8
8,9
9,10
10,12
11,15
12,16
13,20
14,23
15,24
16,25
17,27
18,28
19,30
20,30
21,31
22,32
23,33
24,34
25,35
26,36
27,37
28,37
29,38
30,39
31,39
32,40
33,40
34,41
35,41
36,42
37,42
38,42
39,43
40,43
41,44
42,44
43,45
44,45
45,46
46,46
47,46
48,47
49,47
50,47
51,48
52,48
53,49
54,49
55,50
56,50
57,50
58,51
59,51
60,52
61,52
62,53
63,53
64,54
65,54
66,55
67,55
68,55
69,56
70,56
71,57
72,57
73,58
74,58
75,59
76,59
77,60
78,60
79,61
80,62
81,63
82,64
83,64
84,65
85,66
86,67
87,68
88,69
89,70
90,71
91,72
92,74
93,76
94,79
95,80
96,83
97,90
98,92
99,96
100,100
